Name,Nomenclature Name
693.11.1.lsm,KA1_11.1_131022_sam01_t00
693.11.2.lsm,KA1_11.2_131022_sam01_t00
693.14.1.lsm,KA1_14.1_131022_sam02_t00
693.14.2.lsm,KA1_14.2_131022_sam03_t00
693.19.1.lsm,KA1_19.1_131022_sam04_t00
693.19.2.lsm,KA1_19.2_131022_sam05_t00
693.11.1D angle1.lsm,KA1_11.1D_131022_sam01_t00
693.11.1D angle2.lsm,KA1_11.1D_131022_sam02_t00
693.19.1B angle1.lsm,KA1_19.1B_131022_sam01_t00
693.19.1B angle2.lsm,KA1_19.1B_131022_sam02_t00
WUS V PI in 0.5 SAM01.lsm,WUS-PI_1.1_140327_sam01_t00
WUS V PI in 0.5 SAM02.lsm,WUS-PI_1.1_140327_sam02_t00
WUS V PI in 0.5 SAM00.lsm,WUS-PI_1.1_140327_sam00_t00
1.1 RPS5aDIIV RPS5 tdT SAM01 MBS.lsm,r2DII_1.1_140613_sam01_t00
1.1 RPS5aDIIV RPS5 tdT SAM02 MBS.lsm,r2DII_1.1_140613_sam02_t00
1.1 RPS5aDIIV RPS5 tdT SAM03 MBS.lsm,r2DII_1.1_140613_sam03_t00
3.1 RPS5aDIIV RPS5 tdT SAM01 MBS.lsm,r2DII_3.1_140613_sam01_t00
3.1 RPS5aDIIV RPS5 tdT SAM02 MBS.lsm,r2DII_3.1_140613_sam02_t00
3.1 RPS5aDIIV RPS5 tdT SAM03 MBS.lsm,r2DII_3.1_140613_sam03_t00
3.1 RPS5aDIIV RPS5 tdT SAM04 MBS.lsm,r2DII_3.1_140613_sam04_t00
SAM1.lsm,VN7_2A_141126_sam01_t00
SAM2.lsm,VN7_2A_141126_sam02_t00
SAM3.lsm,VN7_6A_141126_sam03_t00
SAM4ter.lsm,VN7_6B_141126_sam04_t00
SAM5.lsm,VN7_6B_141126_sam05_t00
SAM6.lsm,VN7_6C_141126_sam06_t00
RPS5a VEN N7 SAM12 6B.lsm,VN7_6B_141126_sam12_t00
RPS5a VEN N7 SAM11 6C.lsm,VN7_6C_141126_sam11_t00
1200-DW3.2-SAM04.lsm,r2DII_3.2_141127_sam04_t00
1600-DW3.2-SAM04.lsm,r2DII_3.2_141127_sam04_t04
2400-DW3.2-SAM04.lsm,r2DII_3.2_141127_sam04_t20
2800-DW3.2-SAM04.lsm,r2DII_3.2_141127_sam04_t24
3200-DW3.2-SAM04.lsm,r2DII_3.2_141127_sam04_t28
1200-DW3.2-SAM07.lsm,r2DII_3.2_141127_sam07_t00
1600-DW3.2-SAM07.lsm,r2DII_3.2_141127_sam07_t04
2400-DW3.2-SAM07.lsm,r2DII_3.2_141127_sam07_t20
2800-DW3.2-SAM07.lsm,r2DII_3.2_141127_sam07_t24
3200-DW3.2-SAM07.lsm,r2DII_3.2_141127_sam07_t28
1200-DW3.2-SAM08.lsm,r2DII_3.2_141127_sam08_t00
1600-DW3.2-SAM08.lsm,r2DII_3.2_141127_sam08_t04
2400-DW3.2-SAM08.lsm,r2DII_3.2_141127_sam08_t20
2800-DW3.2-SAM08.lsm,r2DII_3.2_141127_sam08_t24
3200-DW3.2-SAM08.lsm,r2DII_3.2_141127_sam08_t28
0800-DW1.2-SAM02.lsm,r2DII_1.2_141202_sam02_t00
1200-DW1.2-SAM02.lsm,r2DII_1.2_141202_sam02_t04
2400-DW1.2-SAM02.lsm,r2DII_1.2_141202_sam02_t24
2800-DW1.2-SAM02.lsm,r2DII_1.2_141202_sam02_t28
3200-DW1.2-SAM02.lsm,r2DII_1.2_141202_sam02_t32
0800-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t00
1200-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t04
1600-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t08
2400-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t24
2800-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t28
3200-DW1.2-SAM03.lsm,r2DII_1.2_141202_sam03_t32
0800-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t00
1200-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t04
1600-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t08
2400-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t24
2800-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t28
3200-DW1.2-SAM04.lsm,r2DII_1.2_141202_sam04_t32
0800-DW1.2-SAM05.lsm,r2DII_1.2_141202_sam05_t00
1200-DW1.2-SAM05.lsm,r2DII_1.2_141202_sam05_t04
1600-DW1.2-SAM05.lsm,r2DII_1.2_141202_sam05_t08
3200-DW1.2-SAM05.lsm,r2DII_1.2_141202_sam05_t32
0800-DW1.2-SAM06.lsm,r2DII_1.2_141202_sam06_t00
